"item_id"	"manufacturer_item_id"	"upc_or_ean_id"	"manufacturer"	"product_name"	"short_description"	"extended_description"	images	weight	length	width	height	categories	"retail_map"	"msrp"	"stock_status"
"BLK44H506BWR"	"44H506BWR"	"648018133541"	"Blackhawk!"	"13354 - SERPA L3 X DUTY R SZ 6 BW BLK"	"13354 - SERPA L3 X DUTY R SZ 6 BW BLK"	"SERPA Level 3 Light Bearing Duty Holster: Basketweave - Right handed - Size: 06 - Sig 220/225/226 with or w/out rail - Noted for its speed and retention - Use to wear with our Xiphos light while you are on duty - Outstanding retention, extremely fast draw"	BLK44H506BWR.jpg	.9300	12.0000	5.5000	3.7500	HOLSTERS	"n/a"	"124.99"	"N"
"BLK44H506PLL"	"44H506PLL"	"648018133558"	"Blackhawk!"	"13355 - SERPA L3 X DUTY L SZ 6 PL BLK"	"13355 - SERPA L3 X DUTY L SZ 6 PL BLK"	"SERPA Level 3 Light Bearing Duty Holster: Plain Applique - Left handed - Size: 06 - Sig 220/225/226 with or w/out rail - Noted for its speed and retention - Use to wear w/our Xiphos light while you are on duty - Outstanding retention, extremely fast draw"	BLK44H506PLL.jpg	.9300	12.0000	5.5000	3.7500	HOLSTERS	"n/a"	"124.99"	"N"
"BLK44H506PLR"	"44H506PLR"	"648018133565"	"Blackhawk!"	"13356 - SERPA L3 X DUTY R SZ 6 PL BLK"	"13356 - SERPA L3 X DUTY R SZ 6 PL BLK"	"SERPA Level 3 Light Bearing Duty Holster: Plain Applique - Right handed - Size: 06 - Sig 220/225/226 with or w/out rail - Noted for its speed and retention - Use to wear w/our Xiphos light while you are on duty - Outstanding retention, extremely fast draw"	BLK44H506PLR.jpg	.9300	12.0000	5.5000	3.7500	HOLSTERS	"n/a"	"124.99"	"N"
"BLK44H513BKL"	"44H513BKL"	"648018117398"	"Blackhawk!"	"11739 - SERPA L3 X DUTY L SZ 13 MAT BLK"	"11739 - SERPA L3 X DUTY L SZ 13 MAT BLK"	"SERPA Level 3 Light Bearing Duty Holster: Black Matte - Left handed - Size: 13 - Glock 20/21/37/38 & SW MP.45 & 9/40 Pro - Noted for its speed and retention - Use to wear with our Xiphos light - Outstanding retention, extremely fast draw"	BLK44H513BKL.jpg	.7500	12.0000	5.5000	3.5000	HOLSTERS	"n/a"	"107.99"	"N"
"BLK44H513BKR"	"44H513BKR"	"648018096488"	"Blackhawk!"	"09648 - SERPA L3 X DUTY R SZ 13 MAT BLK"	"09648 - SERPA L3 X DUTY R SZ 13 MAT BLK"	"SERPA Level 3 Light Bearing Duty Holster: Black Matte - Right handed - Size: 13 - Glock 20/21/37/38 & SW MP.45 & 9/40 Pro - Noted for its speed and retention - Use to wear with our Xiphos light - Outstanding retention, extremely fast draw"	BLK44H513BKR.jpg	.7500	12.0000	5.5000	3.5000	HOLSTERS	"n/a"	"107.99"	"N"
"BLK44H513BWL"	"44H513BWL"	"648018128813"	"Blackhawk!"	"12881 - SERPA L3 X DUTY L SZ 13 BW BLK"	"12881 - SERPA L3 X DUTY L SZ 13 BW BLK"	"SERPA Level 3 Light Bearing Duty Holster: Basketweave - Left handed - Size: 13 - Glock 20/21/37/38 & SW MP.45 & 9/40 Pro - Noted for its speed and retention - Use to wear with our Xiphos light - Outstanding retention, extremely fast draw"	BLK44H513BWL.jpg	.8000	12.0000	5.5000	3.7500	HOLSTERS	"n/a"	"124.99"	"N"
"BLK44H513BWR"	"44H513BWR"	"648018102899"	"Blackhawk!"	"10289 - SERPA L3 X DUTY R SZ 13 BW BLK"	"10289 - SERPA L3 X DUTY R SZ 13 BW BLK"	"SERPA Level 3 Light Bearing Duty Holster: Basketweave - Right handed - Size: 13 - Glock 20/21/37/38 & SW MP.45 & 9/40 Pro - Noted for its speed and retention - Use to wear with our Xiphos light - Outstanding retention, extremely fast draw"	BLK44H513BWR.jpg	.8000	5.5000	3.7500	12.0000	HOLSTERS	"n/a"	"124.99"	"N"
"BLK44H513PLL"	"44H513PLL"	"648018128820"	"Blackhawk!"	"12882 - SERPA L3 X DUTY L SZ 13 PL BLK"	"12882 - SERPA L3 X DUTY L SZ 13 PL BLK"	"SERPA Level 3 Light Bearing Duty Holster: Plain Applique - Left handed - Size: 13 - Glock 20/21/37/38 & SW MP.45 & 9/40 Pro - Noted for its speed and retention - Use to wear with our Xiphos light - Outstanding retention, extremely fast draw"	BLK44H513PLL.jpg	.8000	12.0000	5.5000	3.7500	HOLSTERS	"n/a"	"124.99"	"N"
"BLK44H513PLR"	"44H513PLR"	"648018102905"	"Blackhawk!"	"10290 - SERPA L3 X DUTY R SZ 13 PL BLK"	"10290 - SERPA L3 X DUTY R SZ 13 PL BLK"	"SERPA Level 3 Light Bearing Duty Holster: Plain Applique - Right handed - Size: 13 - Glock 20/21/37/38 & SW MP.45 & 9/40 Pro - Noted for its speed and retention - Use to wear with our Xiphos light - Outstanding retention, extremely fast draw"	BLK44H513PLR.jpg	.8000	5.5000	3.7500	12.0000	HOLSTERS	"n/a"	"124.99"	"N"
"BLK44H516BKL"	"44H516BKL"	"648018118395"	"Blackhawk!"	"11839 - SERPA L3 X DUTY L SZ 16 BLK"	"11839 - SERPA L3 X DUTY L SZ 16 BLK"	"SERPA Level 3 Light Bearing Duty Holster: Black Matte - Left handed - Size: 16 - H&K P-2000 (US) - Noted for its speed and retention - Use to wear with our Xiphos light while you are on duty - Outstanding retention, extremely fast draw"	BLK44H516BKL.jpg	.7500	12.0000	5.5000	3.5000	HOLSTERS	"n/a"	"107.99"	"N"
