"item_id",qty_available,"stock_status","active_status"
"BCY30408",0,"N","Y"
"BCY33990",21,"S","Y"
"BCY34105",64,"S","Y"
"BCY34112",0,"N","Y"
"BCY34115",37,"S","Y"
"BCY34315",191,"S","Y"
"BCY34375",0,"S","Y"
"BCY34710",15,"S","Y"
"BCY35012",90,"S","Y"
"BCY41012",0,"N","Y"
"BCY47044",4,"S","Y"
"BERJM8045",0,"S","Y"
"BERJM92HCB",454,"S","Y"
"BERJM955",0,"S","Y"
"BFEBCF3",0,"S","Y"
"BFEBFIP",0,"N","Y"
"BFECLP4",451,"S","Y"
"BFECLP5",1,"S","Y"
"BFECLP7",0,"N","Y"
"BFECO4",65,"S","Y"
"BRN112022009",0,"N","Y"
"BRN112022011",0,"N","Y"
"BRN112022016",0,"N","Y"
"BRN112022018",0,"N","Y"
"BRN112022023",0,"N","Y"
"BRN112022060",0,"N","Y"
"BRN112022065",0,"N","Y"
"BRN112022067",0,"N","Y"
"BRN112050193",0,"S","Y"
"BRN112050194",0,"S","Y"
"BRN112050199",0,"N","Y"
"BSQ10039",12,"S","Y"
"BSQ10042",0,"N","Y"
"BSQ15100",0,"D","Y"
"BSQ15150",4,"S","Y"
"BSQ16305",0,"N","Y"
"BSQ16175",0,"N","Y"
"BSQ16205",0,"N","Y"
"BSQ16585",0,"N","Y"
"BSQ16800",0,"N","Y"
"BSQ16900",5,"S","Y"
"BSQ18477",0,"N","Y"
"BSQ18554",1,"S","Y"
"BSQ18561",0,"N","Y"
"BSQ20052",0,"N","Y"
"BSQ20054",0,"N","Y"
"BSQ27052",0,"N","Y"
"BSQT1005",0,"N","Y"
"BSQT1011",0,"N","Y"
"BSQT1864",0,"N","Y"
"BTY4COVR",0,"C","N"
"BUR200162",65,"S","Y"
"BUR200183",64,"S","Y"
"BUR200193",0,"N","Y"
"BUR200229",0,"N","Y"
"BUR200299",1,"S","Y"
"BUR300157",0,"N","Y"
"BUR300205",0,"N","Y"
"BUR410266",0,"N","Y"
"BUR410288",2,"S","Y"
"BUR410297",0,"N","Y"
"BUR410991",0,"N","Y"
"BUR420051",0,"N","Y"
"BUR420053",0,"N","Y"
"BUR420073",0,"N","Y"
"BUR420082",0,"N","Y"
"BUR420084",385,"S","Y"
"BUR420109",0,"N","Y"
"BUR420163",8,"S","Y"
"BUR420165",8,"S","Y"
"BUR420321",0,"N","Y"
"BUR420331",0,"N","Y"
"BUR420512",0,"N","Y"
"BUR420520",0,"N","Y"
"BUR420532",0,"N","Y"
"BUR420555",0,"N","Y"
"BUR420578",4,"S","Y"
"BUR420582",0,"N","Y"
"BUR625027",0,"N","Y"
"BUR625050",0,"N","Y"
"BUR626017",0,"N","Y"
"BUR626019",0,"N","Y"
"BUR626062",0,"N","Y"
"BUS131226",12,"S","Y"
"BUS131232",0,"N","Y"
"BUS131632C",0,"N","Y"
"BUS131633C",0,"N","Y"
"BUS132050C",0,"N","Y"
"BUS132516",37,"S","Y"
"BUS133410C",0,"N","Y"
"BUS133450C",0,"N","Y"
"BUS137501",0,"N","Y"
"BUS139755",0,"S","Y"
"BUS170825",0,"N","Y"
"BUS175010C",0,"N","Y"
"BUS260400",4,"S","Y"
"BUS711432",0,"S","Y"
"BUS711545",2,"S","Y"
"BUS713944",0,"S","Y"
"BUS714124",15,"S","Y"
"BUS716244",2,"S","Y"
"BUS730134",3,"P","N"
"BUS743333",3,"S","Y"
"BUS780102",0,"N","Y"
"BUS781548P",0,"N","Y"
"BUS788846",0,"N","Y"
"BUS788890",0,"N","Y"
"BUT16112",0,"N","Y"
"BUT19000",5,"S","Y"
"BUT20020",10,"S","Y"
"BUT20090",8,"S","Y"
"BUT20100",24,"S","Y"
"BUT20180",75,"S","Y"
"BUT20200",27,"S","Y"
"BUT30010",26,"S","Y"
"BUT30040",18,"S","Y"
"BUT30070",4,"S","Y"
"BUT30170",22,"S","Y"
"BUT30200",2,"S","Y"
"BUT30290",33,"S","Y"
"BUT30310",0,"S","Y"
"BUT30430",120,"S","Y"
"BUT30450",0,"S","Y"
"BUT30470",0,"S","Y"
"BUT50543",0,"N","Y"
"BUT70203",10,"S","Y"
"BUT70205",7,"S","Y"
"BUT72001",0,"N","Y"
"BUT72048",0,"N","Y"
"BUT80023",17,"S","Y"
"BUT80027",8,"S","Y"
"BUT80037",2,"S","Y"
"BUT80043",7,"S","Y"
"BUT80083",6,"S","Y"
"BUT80092",0,"N","Y"
"BUT81043",0,"N","Y"
"BUTEXP2522SM",4404,"S","Y"
"BUTFSMB",0,"S","Y"
"BUTFSMS",7,"S","Y"
"BUTHL10CL",0,"S","Y"
"BUTMCB",59,"S","Y"
"CLK1022218",0,"N","Y"
"CLK1022220",15,"S","Y"
"CLK1022420",30,"S","Y"
"CLTSP53355B",0,"S","Y"
"CLTSP51032B",0,"S","Y"
"CLTSP57532",9,"S","Y"
"CLTSP573422",0,"N","Y"
"CLTSP574001",0,"S","Y"
"CLTSP55723B",10,"S","Y"
"CLTSP54555N",10,"S","Y"
"CLTSP54926B",0,"S","Y"
"CMK14111",0,"S","Y"
"CRK2500",0,"N","Y"
"CRK2907",0,"N","Y"
"CRK3010C",0,"N","Y"
"CRK5500C",0,"N","Y"
"CRK5510",0,"N","Y"
"CRK5510K",0,"N","Y"
"CRK5520KC",0,"N","Y"
"CRKM1603Z",0,"N","Y"
"CRKM1612Z",0,"N","Y"
"CRKM1613SFC",0,"N","Y"
"CRKM1613TC",0,"N","Y"
"CRKM1614DC",0,"N","Y"
"CRKM1614TC",0,"N","Y"
"CRKM1614ZSF",0,"N","Y"
"CRMLG305",0,"S","Y"
"CRMLG309",0,"S","Y"
"CRMLG404",0,"S","Y"
"CROBS125",31,"S","Y"
"CZM11102",101,"S","Y"
"CZM11104",0,"N","Y"
"CZM11109",0,"N","Y"
"CZM11302",0,"N","Y"
"CZM11401",14,"S","Y"
"CZM11751",0,"N","Y"
"CZM12006",0,"N","Y"
"CZM12008",10,"S","Y"
