"item_id",cost,"retail_map","msrp"
"BERTS5270850127M",10.6383,"n/a","20.00"
"BERTS5270850127S",10.6383,"n/a","20.00"
"BERTS5270850127XL",10.6383,"n/a","20.00"
"BERTS5270850127XXL",12.2340,"n/a","23.00"
"BERTS5270850127XXXL",12.2340,"n/a","23.00"
"BERTS527085074AL",10.6383,"n/a","20.00"
"BERTS527085074AM",10.6383,"n/a","20.00"
"BERTS527085074AS",10.6383,"n/a","20.00"
"BERTS527085074AXL",10.6383,"n/a","20.00"
"BERTS527085074AXXL",12.2340,"n/a","23.00"
"BERTS527085074AXXXL",12.2340,"n/a","23.00"
"BERTS547085074AL",10.6383,"n/a","20.00"
"BERTS547085074AM",10.6383,"n/a","20.00"
"BERTS547085074AS",10.6383,"n/a","20.00"
"BERTS547085074AXL",10.6383,"n/a","20.00"
"BERTS547085074AXXL",12.2340,"n/a","23.00"
"BERTS547085074AXXXL",12.2340,"n/a","23.00"
"BERTS5470850815L",10.6383,"n/a","20.00"
"BERTS5470850815M",10.6383,"n/a","20.00"
"BERTS5470850815S",10.6383,"n/a","20.00"
"BERTS5470850815XL",10.6383,"n/a","20.00"
"BERTS5470850815XXL",12.2340,"n/a","23.00"
"BERTS5470850815XXXL",12.2340,"n/a","23.00"
"BERTS7172940999L",18.6170,"n/a","35.00"
"BERTS7172940999M",18.6170,"n/a","35.00"
"BERTS7172940999S",18.6170,"n/a","35.00"
"BERTS7172940999XL",18.6170,"n/a","35.00"
"BERTS7172940999XXL",21.2766,"n/a","40.00"
"BERTS7172940999XXXL",21.2766,"n/a","40.00"
"BERTS1072380905L",15.4255,"n/a","29.00"
"BERTS1072380905M",15.4255,"n/a","29.00"
"BERTS1072380905S",15.4255,"n/a","29.00"
"BERTS1072380905XL",15.4255,"n/a","29.00"
"BERTS1072380905XXL",17.5532,"n/a","33.00"
"BERTS1072380905XXXL",17.5532,"n/a","33.00"
"BERTS1872380100L",15.4255,"n/a","29.00"
"BERTS1872380100M",15.4255,"n/a","29.00"
"BERTS1872380100S",15.4255,"n/a","29.00"
"BERTS1872380100XL",15.4255,"n/a","29.00"
"BERTS1872380100XXL",17.5532,"n/a","33.00"
"BERTS1872380100XXXL",17.5532,"n/a","33.00"
"BERTS1872380321L",15.4255,"n/a","29.00"
"BERTS1872380321M",15.4255,"n/a","29.00"
"BERTS1872380321S",15.4255,"n/a","29.00"
"BERTS1872380321XL",15.4255,"n/a","29.00"
"BERTS1872380321XXL",17.5532,"n/a","33.00"
"BERTS1872380321XXXL",17.5532,"n/a","33.00"
"BERTS1872380504L",15.4255,"n/a","29.00"
"BERTS1872380504M",15.4255,"n/a","29.00"
"BERTS1872380504S",15.4255,"n/a","29.00"
"BERTS1872380504XL",15.4255,"n/a","29.00"
"BERTS1872380504XXL",17.5532,"n/a","33.00"
"BERTS1872380504XXXL",17.5532,"n/a","33.00"
"BERTS1872380560L",15.4255,"n/a","29.00"
"BERTS1872380560M",15.4255,"n/a","29.00"
"BERTS1872380560S",15.4255,"n/a","29.00"
"BERTS1872380560XL",15.4255,"n/a","29.00"
